2024-07-03 15:29:00.491 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - "Initializing Spring embedded WebApplicationContext" 
2024-07-03 15:29:00.491 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - "Root WebApplicationContext: initialization completed in 842 ms" 
2024-07-03 15:29:00.586 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - "HHH000204: Processing PersistenceUnitInfo [name: default]" 
2024-07-03 15:29:00.623 [restartedMain] INFO  org.hibernate.Version - "HHH000412: Hibernate ORM core version 6.5.2.Final" 
2024-07-03 15:29:00.646 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - "HHH000026: Second-level cache disabled" 
2024-07-03 15:29:00.865 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - "No LoadTimeWeaver setup: ignoring JPA class transformer" 
2024-07-03 15:29:00.883 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - "HikariPool-1 - Starting..." 
2024-07-03 15:29:01.152 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - "HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2a547e91" 
2024-07-03 15:29:01.154 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - "HikariPool-1 - Start completed." 
2024-07-03 15:29:01.761 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - "HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)" 
2024-07-03 15:29:01.814 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - "Initialized JPA EntityManagerFactory for persistence unit 'default'" 
2024-07-03 15:29:02.029 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - "spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning" 
2024-07-03 15:29:02.237 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - "LiveReload server is running on port 35729" 
2024-07-03 15:29:02.262 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - "Tomcat started on port 8080 (http) with context path '/'" 
2024-07-03 15:29:02.268 [restartedMain] INFO  c.c.bottletalk.BottleTalkApplication - "Started BottleTalkApplication in 3.158 seconds (process running for 3.552)" 
2024-07-03 15:36:24.079 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - "Closing JPA EntityManagerFactory for persistence unit 'default'" 
2024-07-03 15:36:24.081 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - "HikariPool-1 - Shutdown initiated..." 
2024-07-03 15:36:24.152 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - "HikariPool-1 - Shutdown completed." 
2024-07-03 15:36:25.932 [restartedMain] INFO  c.c.bottletalk.BottleTalkApplication - "Starting BottleTalkApplication using Java 17.0.11 with PID 15020 (C:\himedia\BottelTalk\build\classes\java\main started by tiq00 in C:\himedia\BottelTalk)" 
2024-07-03 15:36:25.933 [restartedMain] INFO  c.c.bottletalk.BottleTalkApplication - "No active profile set, falling back to 1 default profile: "default"" 
